                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1703,                 2.8424,                 2.7391,                0.64065,                0.31395,                0.35164,                0.10043,                 3.0647,                 2.5737,                 2.8461,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.0794,                 2.9453,                  2.282,                0.56662,                0.39527,                0.36825,                0.09902,                 2.9688,                 1.8429,                 2.6303,             0.00013954,             0.00013954,             0.00013954
                      3,                 2.8783,                 1.5917,                 2.0455,                0.61407,                0.48062,                 0.4773,                0.14715,                 2.6563,                 1.2644,                 2.1164,             0.00021855,             0.00021855,             0.00021855
                      4,                  2.528,                 1.4846,                 1.8553,                0.65424,                0.57752,                0.54971,                0.20378,                 2.2721,                 1.1128,                 1.6295,             0.00029703,             0.00029703,             0.00029703
                      5,                 2.1427,                  1.287,                 1.4488,                0.69341,                0.59612,                0.60009,                0.23567,                 2.1268,                 1.0535,                 1.5126,             0.00037498,             0.00037498,             0.00037498
                      6,                 2.2113,                 1.2819,                 1.4277,                0.75026,                0.62016,                0.65346,                0.27182,                 2.0124,                 1.0024,                 1.4334,             0.00045241,             0.00045241,             0.00045241
                      7,                 1.8562,                 1.0865,                 1.3235,                0.75934,                0.61147,                0.67661,                0.31448,                 1.8952,                0.93781,                 1.3588,             0.00052931,             0.00052931,             0.00052931
                      8,                 1.9331,                 1.0151,                 1.2378,                0.77737,                0.64963,                0.72095,                0.36317,                 1.7815,                0.86573,                 1.2942,             0.00060568,             0.00060568,             0.00060568
                      9,                 1.7816,                0.96553,                 1.2655,                0.77625,                 0.6938,                0.74421,                0.39767,                 1.6628,                0.82975,                 1.2321,             0.00068152,             0.00068152,             0.00068152
                     10,                  1.568,                0.90289,                 1.1329,                0.77979,                0.69999,                0.76695,                0.43027,                 1.5694,                0.80124,                  1.187,             0.00075683,             0.00075683,             0.00075683
                     11,                  1.577,                 1.0039,                 1.1681,                0.84223,                0.67054,                0.78543,                0.45661,                 1.4902,                0.75628,                 1.1389,             0.00083162,             0.00083162,             0.00083162
                     12,                 1.5587,                0.86649,                 1.1337,                0.82052,                0.72651,                0.82838,                 0.4886,                 1.4093,                0.73557,                 1.1062,             0.00090588,             0.00090588,             0.00090588
                     13,                 1.5441,                0.91407,                 1.1182,                0.81482,                0.75894,                 0.8493,                0.49799,                   1.38,                0.75373,                 1.0882,             0.00097961,             0.00097961,             0.00097961
                     14,                 1.4662,                0.82291,                 1.1029,                0.80598,                0.77907,                0.85155,                0.50875,                 1.3599,                0.74877,                 1.0741,              0.0010528,              0.0010528,              0.0010528
                     15,                 1.3683,                0.78094,                 1.0495,                0.83183,                0.81202,                 0.8805,                0.53597,                 1.3182,                0.72337,                 1.0544,              0.0011255,              0.0011255,              0.0011255
                     16,                 1.2985,                0.71083,                 1.1078,                0.83578,                0.79264,                0.88359,                0.54527,                 1.2626,                0.70809,                 1.0353,              0.0011976,              0.0011976,              0.0011976
                     17,                 1.3216,                0.76862,                 1.0142,                0.88469,                0.76163,                0.88347,                0.54933,                 1.2366,                0.70835,                 1.0258,              0.0012692,              0.0012692,              0.0012692
                     18,                 1.2223,                0.67819,                0.98081,                0.88464,                0.79264,                0.89444,                0.53865,                 1.2183,                0.69461,                 1.0175,              0.0013403,              0.0013403,              0.0013403
                     19,                 1.4092,                0.76744,                 1.0475,                0.88749,                0.79845,                0.89365,                0.54501,                 1.2111,                 0.6908,                 1.0109,              0.0014109,              0.0014109,              0.0014109
                     20,                 1.2755,                0.71454,                  1.039,                0.88363,                0.78488,                0.89563,                0.55484,                 1.1843,                0.66347,                 1.0019,              0.0014809,              0.0014809,              0.0014809
                     21,                 1.3035,                0.70937,                0.99958,                0.86685,                0.85793,                0.92472,                0.57812,                 1.1548,                0.61548,                0.99548,              0.0015504,              0.0015504,              0.0015504
                     22,                  1.293,                0.70454,                  1.083,                 0.8739,                0.84613,                0.92642,                0.59033,                  1.109,                0.60644,                0.97689,              0.0016194,              0.0016194,              0.0016194
                     23,                 1.2657,                0.72879,                0.97721,                 0.8872,                0.84109,                0.92708,                0.59341,                 1.1402,                0.60858,                0.98621,              0.0016879,              0.0016879,              0.0016879
                     24,                 1.2836,                0.67056,                 1.0059,                0.88863,                0.84302,                0.93055,                 0.6049,                 1.1126,                0.59486,                0.97818,              0.0017558,              0.0017558,              0.0017558
                     25,                  1.242,                0.65345,                0.99869,                0.88064,                0.82934,                0.93064,                0.60938,                 1.0824,                0.56922,                0.96682,              0.0018232,              0.0018232,              0.0018232
                     26,                 1.2217,                0.63396,                 1.0029,                0.88749,                0.85611,                 0.9315,                 0.6266,                 1.0638,                0.56861,                0.95606,               0.001835,               0.001835,               0.001835
                     27,                  1.305,                0.72946,                 0.9746,                0.85847,                0.89337,                0.93905,                0.62614,                 1.1249,                0.57255,                0.96954,               0.001835,               0.001835,               0.001835
                     28,                  1.139,                0.59109,                0.98891,                0.84983,                0.90116,                 0.9433,                0.62617,                  1.106,                0.56892,                0.96349,              0.0018284,              0.0018284,              0.0018284
                     29,                    1.2,                 0.6279,                0.98522,                0.86195,                0.89922,                0.94387,                0.64224,                 1.0492,                0.56105,                0.94755,              0.0018218,              0.0018218,              0.0018218
                     30,                  1.218,                0.67246,                 1.0141,                0.87397,                  0.887,                0.94608,                0.64396,                 1.0311,                0.55675,                0.94289,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.2376,                0.64534,                0.97723,                0.88355,                0.89696,                0.94921,                0.65387,                 1.0208,                0.55933,                0.93933,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.1721,                0.61172,                 0.9315,                0.89307,                0.91667,                0.95991,                0.65001,                 1.1028,                0.58035,                0.96015,               0.001802,               0.001802,               0.001802
                     33,                 1.0653,                  0.577,                0.92162,                0.91042,                0.92054,                0.96362,                0.65217,                 1.0916,                0.57436,                0.95846,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.3157,                  0.659,                0.93625,                 0.8953,                0.91141,                 0.9606,                0.65798,                 1.0483,                0.56418,                0.94903,              0.0017888,              0.0017888,              0.0017888
                     35,                  1.212,                0.65379,                0.97965,                 0.8722,                0.89934,                0.95611,                0.65193,                  1.018,                0.55955,                0.94053,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.1698,                0.60802,                0.91413,                0.86232,                0.91037,                0.94947,                0.65208,                0.98903,                0.56104,                0.93079,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.0996,                0.62076,                 0.9661,                  0.865,                0.91892,                0.95626,                0.67638,                0.99254,                0.55019,                0.93346,               0.001769,               0.001769,               0.001769
                     38,                 1.0484,                0.57676,                0.95029,                0.88422,                0.91764,                0.96254,                0.68217,                0.96924,                0.53089,                0.92604,              0.0017624,              0.0017624,              0.0017624
